HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
G2071,ADD,Med tx remove implant,"Medication assisted treatment, buprenorphine (implant removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2072,ADD,Med tx insert/remove imp,"Medication assisted treatment, buprenorphine (implant insertion and removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2073,ADD,Med tx naltrexone,"Medication assisted treatment, naltrexone; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2074,ADD,Med assist tx no drug,"Medication assisted treatment, weekly bundle not including the drug, including substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2075,ADD,Med tx meds nos,"Medication assisted treatment, medication not otherwise specified; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2076,ADD,Intake act w/med exam,"Intake activities, including initial medical examination that is a complete, fully documented physical evaluation and initial assessment by a program physician or a primary care physician, or an authorized healthcare professional under the supervision of a program physician qualified personnel that includes preparation of a treatment plan that includes the patient's short-term goals and the tasks the patient must perform to complete the short-term goals; the patient's requirements for education, vocational rehabilitation, and employment; and the medical, psycho- social, economic, legal, or other supportive services that a patient needs, conducted by qualified personnel (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure",
G2077,ADD,Periodic assessment,Periodic assessment; assessing periodically by qualified personnel to determine the most appropriate combination of services and treatment (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure,
G2078,ADD,Take-home meth,Take-home supply of methadone; up to 7 additional day supply (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure,
G2079,ADD,Take-hom buprenorphine,Take-home supply of buprenorphine (oral); up to 7 additional day supply (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure,
G2080,ADD,Add 30 mins counsel,"Each additional 30 minutes of counseling in a week of medication assisted treatment, (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure",
G2081,ADD,Pt 66+ snp or ltc pos > 90d,"Patients age 66 and older in institutional special needs plans (snp) or residing in long-term care with a pos code 32, 33, 34, 54 or 56 for more than 90 days during the measurement period",
G2082,ADD,Visit esketamine 56m or less,"Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of up to 56 mg of esketamine nasal self-administration, includes 2 hours post-administration observation",
G2083,ADD,"Visit esketamine, > 56m","Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of  greater than 56 mg esketamine nasal self-administration, includes 2 hours post-administration observation",
G2086,ADD,Off base opioid tx 70min,"Office-based treatment for opioid use disorder, including development of the treatment plan, care coordination, individual therapy and group therapy and counseling; at least 70 minutes in the first calendar month",
G2087,ADD,"Off base opioid tx, 60 m","Office-based treatment for opioid use disorder, including care coordination, individual therapy and group therapy and counseling; at least 60 minutes in a subsequent calendar month",
G2088,ADD,"Off base opioid tx, add30","Office-based treatment for opioid use disorder, including care coordination, individual therapy and group therapy and counseling; each additional 30 minutes beyond the first 120 minutes (list separately in addition to code for primary procedure)",
G2089,ADD,A1c level 7 to 9%,Most recent hemoglobin a1c (hba1c) level 7.0 to 9.0%,
G2090,ADD,Pt 66+ frailty and med dem,Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period,
G2091,ADD,Pt 66+ frailty and adv ill,"Patients 66 years of age and older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period",
